head	relation	tail
SNHG12	affects	HGF
SNHG12	affects	RUNX2
SNHG1	affects	DDR2
SNHG12	affects	ROBO1
SNHG12	affects	RBFOX2
SNHG12	affects	TCF12
SNHG1	affects	RFX7
PVT1	affects	MALAT1
SNHG12	affects	SMARCA1
SNHG12	affects	ZEB2
SNHG12	affects	ADAM19
SNHG12	affects	P4HA2
SNHG1	affects	RAB10
SNHG12	affects	FAT1
SNHG12	affects	ANGPT1
SNHG12	affects	ASS1
SNHG12	affects	TRPM7
SNHG1	affects	WNK1
SNHG12	affects	ROMO1
SNHG1	affects	SMAD5
SNHG1	affects	BCAT1
SNHG12	affects	SNHG5
SNHG12	affects	SPHK1
SNHG12	affects	LRP6
SNHG1	affects	STMN1
SNHG12	affects	TGFBR2
SNHG12	affects	IRS1
SNHG12	affects	RAP2A
SNHG1	affects	SLC7A11
SNHG12	affects	LUCAT1
SNHG12	affects	S100A4
SNHG1	affects	BRMS1
SNHG1	affects	ZEB2
SNHG12	affects	REST
SNHG12	affects	CHSY1
SNHG12	affects	ATP7A
SNHG1	affects	FAT1
SNHG1	affects	ASS1
SNHG1	affects	TRPM7
EPB41L4A-AS1	affects	DDIT3
SNHG12	affects	MAP3K2
SNHG12	affects	PA2G4
SNHG12	affects	PTTG1
SNHG12	affects	ROCK1
SNHG12	affects	MAP3K7
SNHG1	affects	IRS1
SNHG1	affects	ARHGDIA
SNHG1	affects	TP53INP1
SNHG12	affects	VEGFA
SNHG12	affects	SNHG7
SNHG12	affects	DUSP6
SNHG12	affects	SIVA1
SNHG1	affects	LUCAT1
SNHG1	affects	REST
SNHG1	affects	S100A4
SNHG12	affects	CPEB4
SNHG1	affects	ABL2
SNHG12	affects	BMPR2
SNHG12	affects	CDK19
SNHG12	affects	UBXN1
EPB41L4A-AS1	affects	EPB41L4A-AS1
SNHG12	affects	FBXW8
SNHG12	affects	ATM
SNHG12	affects	APC
SNHG12	affects	CDC34
SNHG12	affects	SEMA5A
SNHG12	affects	NF1
SNHG12	affects	GINS2
SNHG12	affects	MCM2
SNHG12	affects	CREB1
SNHG12	affects	PGK1
SNHG12	affects	EPAS1
SNHG12	affects	ARL2
PVT1	affects	CCL5
SNHG12	affects	DDX54
SNHG12	affects	SMC2
SNHG12	affects	ACOT7
SNHG1	affects	PCNA
SNHG12	affects	MAPK6
SNHG12	affects	ZNF217
SNHG12	affects	ITGB1
SNHG12	affects	STC1
SNHG12	affects	SNHG16
SNHG1	affects	ID1
SNHG1	affects	CCNG1
SNHG12	affects	IGFBP5
PVT1	affects	RMRP
SNHG12	affects	OSMR
SNHG12	affects	DANCR
SNHG1	affects	CPEB4
SNHG12	affects	COL6A3
SNHG12	affects	RLIM
SNHG1	affects	HDAC9
SNHG1	affects	BMPR2
SNHG12	affects	HK2
SNHG12	affects	PIN1
SNHG12	affects	KDM6A
SNHG12	affects	CCNG2
SNHG1	affects	FAIM2
SNHG1	affects	ATM
SNHG12	affects	CRYBG3
SNHG12	affects	TUG1
SNHG1	affects	CDC34
SNHG12	affects	IQGAP1
SNHG12	affects	HMGA1
SNHG1	affects	GINS2
SNHG1	affects	KLF7
SNHG12	affects	FMNL2
SNHG1	affects	MAPK6
SNHG1	affects	ITGB1
SNHG12	affects	SMAD3
SNHG12	affects	VCAN
SNHG1	affects	SNHG16
SNHG12	affects	KRAS
SNHG12	affects	PFN1
SNHG12	affects	EPHA2
